Nextstrain_clade,date
20I/501Y.V1,2021-01-18
20I/501Y.V1,2021-01-18
20C,2021-01-20
20E (EU1),2021-01-06
20B,2020-09-09
20E (EU1),2020-12-16
20B,2021-01-11
20A,2020-10-31
20E (EU1),2020-12-16
20B,2021-02-01
20C,2020-05-05
20B,2020-11-20
20C,2020-05-05
20I/501Y.V1,2020-12-21
20B,2020-04-28
20I/501Y.V1,2021-01-18
20E (EU1),2020-11-18
20B,2020-04-28
20A,2020-11-23
20E (EU1),2020-11-22
20E (EU1),2020-12-13
19A,2020-05-20
19A,2020-01-25
20G,2021-02-08
20A,2021-01-08
20B,2020-06-09
20A,2020-04-14
20B,2020-08-24
20I/501Y.V1,2021-02-12
20I/501Y.V1,2021-02-03
20A,2021-02-03
20I/501Y.V1,2021-02-03
20B,2020-11-04
19B,2020-05-08
20A,2020-12-15
20B,2020-08-25
20C,2021-01-20
20A,2020-10-29
20A,2020-11-19
20A.EU2,2021-01-12
20H/501Y.V2,2021-01-11
20A,2021-01-16
20A,2020-12-26
20D,2020-10-13
20B,2021-02-07
20A.EU2,2021-01-11
20A,2020-12-31
20A,2020-08-12
20E (EU1),2021-01-11
20B,2020-10-14
20B,2020-07-21
20A.EU2,2020-11-15
20A,2020-11-04
20I/501Y.V1,2021-03-07
20B,2020-11-04
20E (EU1),2020-11-26
20E (EU1),2020-11-25
20A,2020-06-17
20B,2020-12-28
19A,2020-01-29
20B,2020-08-19
19A,2020-08-03
20B,2020-11-28
20A,2020-04-15
20E (EU1),2020-08-31
20A,2020-11-06
20C,2021-02-03
20A,2020-07-17
20B,2020-03-20
20A,2020-10-30
20B,2020-12-14
20C,2021-02-02
20B,2020-12-15
20A,2020-12-17
20G,2021-01-14
20A.EU2,2021-02-17
20A,2020-04-01
19A,2020-01-30
20B,2020-12-17
20C,2020-08-22
20A,2020-07-03
20A,2020-05-02
20A,2020-09-18
20C,2021-02-16
20A,2020-11-30
20B,2020-05-28
20C,2021-02-16
20A,2020-11-30
20A,2020-09-10
20B,2021-02-05
20B,2020-12-16
20B,2021-01-09
20B,2021-02-10
20B,2020-11-23
20A,2020-11-23
20C,2020-11-23
20B,2020-03-23
20B,2020-09-26
20A,2021-01-27
20B,2020-10-23
20A,2020-06-02
20I/501Y.V1,2021-01-23
20B,2021-01-23
20A,2020-12-25
20A,2020-08-17
20A,2020-08-16
20D,2020-12-25
20B,2020-11-13
20I/501Y.V1,2021-03-01
20B,2020-11-28
20B,2021-02-17
20A,2020-10-31
20B,2020-12-03
20B,2020-12-03
20B,2021-02-01
20A,2021-01-07
20A,2020-03-18
20G,2021-02-12
20B,2021-02-10
20A,2020-11-23
20C,2021-01-02
20I/501Y.V1,2021-02-17
20B,2020-11-02
